,Year,#,Team,Pts,Opp.Pts,Margin,Pace,Off. Eff,Def. Eff,Net Rtg.,EFg%,Opp. EFg%,Ts%,Opp. Ts%,Reb. %,Eff.,Opp. Eff.,Win,Loss
147,2015,28,Toronto Raptors,103.99,100.92,3.07,90.13,114.36,110.94,3.43,0.508,0.506,0.5529999999999999,0.542,49.46,115.33,113.34,49.0,33.0
148,2015,29,Utah Jazz,94.78,94.72,0.06,90.06,105.43,105.24,0.18,0.494,0.49200000000000005,0.531,0.529,52.8,107.49,103.68,38.0,44.0
149,2015,30,Washington Wizards,98.54,97.82,0.72,93.09,104.39,103.64,0.75,0.499,0.48100000000000004,0.534,0.521,51.72,114.73,104.92,46.0,36.0
150,2014,1,Atlanta Hawks,101.0,101.48,-0.48,94.22,106.38,106.71,-0.32,0.515,0.51,0.5539999999999999,0.545,47.87,114.65,115.77,38.0,44.0
151,2014,2,Brooklyn Nets,98.52,99.52,-1.0,91.12,107.04,107.86,-0.83,0.514,0.509,0.556,0.551,47.09,107.79,110.88,44.0,38.0
152,2014,3,Boston Celtics,96.24,100.71,-4.46,93.24,102.96,108.0,-5.04,0.47700000000000004,0.505,0.517,0.547,50.13,104.63,113.98,25.0,57.0
153,2014,4,Charlotte Bobcats,96.85,97.07,-0.22,91.65,104.49,104.56,-0.07,0.48100000000000004,0.491,0.522,0.526,49.64,108.61,108.5,43.0,39.0
154,2014,5,Chicago Bulls,93.66,91.81,1.85,89.53,103.3,101.03,2.26,0.47100000000000003,0.47100000000000003,0.518,0.509,51.68,108.22,101.18,48.0,34.0
155,2014,6,Cleveland Cavaliers,98.22,101.51,-3.29,92.54,104.8,108.29,-3.49,0.479,0.508,0.518,0.545,50.91,107.39,117.26,33.0,49.0
156,2014,7,Dallas Mavericks,104.84,102.44,2.4,93.75,110.99,108.47,2.52,0.526,0.515,0.564,0.556,48.85,120.73,113.63,49.0,33.0
157,2014,8,Denver Nuggets,104.38,106.52,-2.15,97.77,106.35,108.6,-2.25,0.49700000000000005,0.5,0.536,0.5429999999999999,50.89,115.26,119.78,36.0,46.0
158,2014,9,Detroit Pistons,101.05,104.71,-3.66,94.37,106.53,110.42,-3.89,0.48200000000000004,0.52,0.515,0.5589999999999999,51.35,110.02,120.84,29.0,53.0
