,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
183,1997,Charlie Ward,PG,26.0,NYK,9.0,0.0,20.2,0.9,3.0,0.29600000000000004,0.1,1.0,0.111,0.8,2.0,0.389,0.315,0.3,0.4,0.75,0.3,2.4,2.8,4.3,1.4,0.0,1.7,2.0,2.2
184,1997,Chris Webber,PF,23.0,WSB,3.0,3.0,35.3,6.3,10.0,0.633,1.7,3.7,0.455,4.7,6.3,0.737,0.7170000000000001,1.3,2.7,0.5,2.3,5.7,8.0,3.3,0.7,2.3,5.3,6.0,15.7
185,1997,Doug West,SG,29.0,MIN,3.0,3.0,29.0,4.0,7.3,0.545,0.0,0.7,0.0,4.0,6.7,0.6,0.545,3.0,3.0,1.0,0.0,1.3,1.3,2.0,0.7,0.3,0.3,3.7,11.0
186,1997,Chris Whitney,PG,25.0,WSB,3.0,0.0,6.7,0.7,1.7,0.4,0.7,1.3,0.5,0.0,0.3,0.0,0.6,0.3,0.3,1.0,0.0,0.7,0.7,0.7,0.0,0.0,1.7,0.3,2.3
187,1997,Gerald Wilkins,SG,33.0,ORL,5.0,0.0,28.8,3.2,9.0,0.35600000000000004,0.6,1.8,0.33299999999999996,2.6,7.2,0.361,0.389,2.4,2.8,0.857,0.6,1.2,1.8,0.8,0.0,0.4,0.6,1.4,9.4
188,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1997,Buck Williams,PF,36.0,NYK,10.0,1.0,19.3,1.7,3.5,0.486,0.0,0.0,,1.7,3.5,0.486,0.486,0.9,1.7,0.529,1.3,2.7,4.0,0.6,0.3,0.4,0.4,3.4,4.3
190,1997,Herb Williams,PF,38.0,NYK,3.0,0.0,7.7,0.7,1.7,0.4,0.0,0.0,,0.7,1.7,0.4,0.4,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.3,1.3
191,1997,Hot Rod Williams,C,34.0,PHO,5.0,5.0,21.0,1.6,3.0,0.5329999999999999,0.0,0.0,,1.6,3.0,0.5329999999999999,0.5329999999999999,0.8,2.0,0.4,2.0,2.6,4.6,0.6,0.4,1.6,1.0,2.4,4.0
192,1997,Jerome Williams,PF,23.0,DET,1.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,4.0
193,1997,Lorenzo Williams,C,27.0,WSB,2.0,0.0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
194,1997,Kevin Willis,PF,34.0,HOU,16.0,0.0,18.4,2.4,5.9,0.4,0.0,0.1,0.0,2.4,5.9,0.40399999999999997,0.4,1.6,2.4,0.684,1.4,3.3,4.7,0.7,0.6,0.3,1.4,2.9,6.4
195,1997,David Wingate,SG,33.0,SEA,12.0,0.0,16.0,2.3,5.5,0.424,1.0,2.6,0.387,1.3,2.9,0.457,0.515,0.8,1.1,0.6920000000000001,1.1,2.0,3.1,1.2,0.4,0.3,0.8,1.8,6.4
